memory_address,data_category,phase,fc,size_in_bytes,data_type,divide_by
997,#22,3,4,2,INT16,100
998,#22,3,4,2,UINT16,100
999,#22,3,4,2,UINT16,1
1000,#23,total,4,2,UINT16,1
1001,#23,total,4,2,UINT16,
1002,#23,total,4,4,UINT32,100
1004,#23,total,4,4,INT32,1
1006,#23,total,4,4,INT32,1
1008,#23,total,4,4,UINT32,1
1010,#23,total,4,2,INT16,100
1011,#23,total,4,2,,
1012,#23,total,4,2,UINT16,100
1013,#23,total,4,2,UINT16,100
1014,#23,total,4,4,UINT16,100
1016,#23,1,4,4,UINT32,100
1018,#23,1,4,4,INT32,1
1020,#23,1,4,2,UINT16,100
1021,#23,1,4,2,INT16,100
1022,#23,1,4,2,UINT16,100
1023,#23,1,4,2,UINT16,1
1024,#23,2,4,4,UINT32,100
1026,#23,2,4,4,INT32,1
1028,#23,2,4,2,UINT16,100
1029,#23,2,4,2,INT16,100
1030,#23,2,4,2,UINT16,100
1031,#23,2,4,2,UINT16,1
1032,#23,3,4,4,UINT32,100
1034,#23,3,4,4,INT32,1
1036,#23,3,4,2,UINT16,100
1037,#23,3,4,2,INT16,100
1038,#23,3,4,2,UINT16,100
1039,#23,3,4,2,UINT16,1
1040,#24,total,4,2,UINT16,1
1041,#24,total,4,2,UINT16,
1042,#24,total,4,4,UINT32,100
1044,#24,total,4,4,INT32,1
1046,#24,total,4,4,INT32,1
1048,#24,total,4,4,UINT32,1
1050,#24,total,4,2,INT16,100
1051,#24,total,4,2,,
1052,#24,total,4,2,UINT16,100
1053,#24,total,4,2,UINT16,100
1054,#24,total,4,4,UINT16,100
1056,#24,1,4,4,UINT32,100
1058,#24,1,4,4,INT32,1
1060,#24,1,4,2,UINT16,100
1061,#24,1,4,2,INT16,100
1062,#24,1,4,2,UINT16,100
1063,#24,1,4,2,UINT16,1
1064,#24,2,4,4,UINT32,100
1066,#24,2,4,4,INT32,1
1068,#24,2,4,2,UINT16,100
1069,#24,2,4,2,INT16,100
1070,#24,2,4,2,UINT16,100
1071,#24,2,4,2,UINT16,1
1072,#24,3,4,4,UINT32,100
1074,#24,3,4,4,INT32,1
1076,#24,3,4,2,UINT16,100
1077,#24,3,4,2,INT16,100
1078,#24,3,4,2,UINT16,100
1079,#24,3,4,2,UINT16,1
1080,#25,total,4,2,UINT16,1
1081,#25,total,4,2,UINT16,
1082,#25,total,4,4,UINT32,100
1084,#25,total,4,4,INT32,1
1086,#25,total,4,4,INT32,1
